DATETIME,PRICE
2021-05-25 23:00:00,0.15597618867503688
2021-05-26 23:00:00,0.15668565958003544
2021-05-27 23:00:00,0.15695063745501403
2021-05-28 23:00:00,0.15717154094908034
2021-05-31 23:00:00,0.1569207134557158
2021-06-01 23:00:00,0.15666553084156806
2021-06-02 23:00:00,0.15666553084156806
2021-06-03 23:00:00,0.15626611494310352
2021-06-04 23:00:00,0.15640775188099873
2021-06-07 23:00:00,0.15656900935656398
2021-06-08 23:00:00,0.1562468262363421
2021-06-09 23:00:00,0.15656447442480168
2021-06-10 23:00:00,0.156589481101607
2021-06-11 23:00:00,0.15635065073140833
2021-06-14 23:00:00,0.15610864849718106
2021-06-15 23:00:00,0.156073320124328
2021-06-16 23:00:00,0.15526648386625966
2021-06-17 23:00:00,0.15486888413097263
2021-06-18 23:00:00,0.1547746828860216
2021-06-21 23:00:00,0.15463945424643807
2021-06-22 23:00:00,0.1543000333288072
2021-06-23 23:00:00,0.15437661564776814
2021-06-24 23:00:00,0.1545381280332937
2021-06-25 23:00:00,0.15477025130045702
2021-06-28 23:00:00,0.15477911472537542
2021-06-29 23:00:00,0.15465870689855163
2021-06-30 23:00:00,0.15459821469981666
2021-07-01 23:00:00,0.15449479429790614
2021-07-02 23:00:00,0.15452726247228166
2021-07-05 23:00:00,0.15478127084710241
2021-07-06 23:00:00,0.15439175053998513
2021-07-07 23:00:00,0.15444874155165383
2021-07-08 23:00:00,0.1539912609959385
2021-07-09 23:00:00,0.15429896195373347
2021-07-12 23:00:00,0.15438829427952772
2021-07-13 23:00:00,0.15432825156122315
2021-07-14 23:00:00,0.15482212872685894
2021-07-15 23:00:00,0.1547712094596163
2021-07-16 23:00:00,0.15443192602093017
2021-07-19 23:00:00,0.15395048490553984
2021-07-20 23:00:00,0.15412999015109363
2021-07-21 23:00:00,0.1547029702970297
2021-07-22 23:00:00,0.15440808048366786
2021-07-23 23:00:00,0.15440545792412672
2021-07-26 23:00:00,0.15423399301782714
2021-07-27 23:00:00,0.15321091781000312
2021-07-28 23:00:00,0.15415862151360643
2021-07-29 23:00:00,0.1548597706062218
2021-07-30 23:00:00,0.15472523119817672
2021-08-02 23:00:00,0.1546760503470544
2021-08-03 23:00:00,0.15463526952154302
2021-08-04 23:00:00,0.15471996460007212
2021-08-05 23:00:00,0.1547532459493338
2021-08-06 23:00:00,0.15435374018406683
2021-08-09 23:00:00,0.15418821446963882
2021-08-10 23:00:00,0.1541491161475053
2021-08-11 23:00:00,0.15440307385639432
2021-08-12 23:00:00,0.1543591010125957
2021-08-13 23:00:00,0.15437018123831128
2021-08-16 23:00:00,0.15442119461780368
2021-08-17 23:00:00,0.1540600603145136
2021-08-18 23:00:00,0.15420580924124574
2021-08-19 23:00:00,0.15381125052391956
2021-08-20 23:00:00,0.15384189360910006
2021-08-23 23:00:00,0.15438459982739802
2021-08-24 23:00:00,0.15457049496563896
2021-08-25 23:00:00,0.15454947283174816
2021-08-26 23:00:00,0.15421104089368384
2021-08-27 23:00:00,0.15476713736512043
2021-08-30 23:00:00,0.15467616997054967
2021-08-31 23:00:00,0.15494015049336818
2021-09-01 23:00:00,0.1549894994614115
2021-09-02 23:00:00,0.15508444347947456
2021-09-03 23:00:00,0.1552977095917301
2021-09-06 23:00:00,0.15502145496936778
2021-09-07 23:00:00,0.15475767656109873
2021-09-08 23:00:00,0.15487428080255852
2021-09-09 23:00:00,0.1550061963727
2021-09-10 23:00:00,0.15525214112109123
2021-09-13 23:00:00,0.15522912595136049
2021-09-14 23:00:00,0.15540945340164097
2021-09-15 23:00:00,0.15558136477528994
2021-09-16 23:00:00,0.1549636803874092
2021-09-17 23:00:00,0.1544795198776522
2021-09-20 23:00:00,0.1542262622648435
2021-09-21 23:00:00,0.15428063184089963
2021-09-22 23:00:00,0.15465404277266862
2021-09-23 23:00:00,0.1547526472374718
2021-09-24 23:00:00,0.15474486440481255
2021-09-27 23:00:00,0.15485641326221294
2021-09-28 23:00:00,0.15464830269621582
2021-09-29 23:00:00,0.1543739941569443
2021-09-30 23:00:00,0.1550584725499986
2021-10-01 23:00:00,0.15536394002951914
2021-10-04 23:00:00,0.15502349768666185
2021-10-05 23:00:00,0.15505606827428797
2021-10-06 23:00:00,0.1549403905582425
2021-10-07 23:00:00,0.1549714852467146
2021-10-08 23:00:00,0.15513268110383108
2021-10-11 23:00:00,0.1548197317748147
2021-10-12 23:00:00,0.1549011498312352
2021-10-13 23:00:00,0.15555607407580246
2021-10-14 23:00:00,0.15538071771907322
2021-10-15 23:00:00,0.15541416320352106
2021-10-18 23:00:00,0.15557495056605947
2021-10-19 23:00:00,0.15683236267170203
2021-10-20 23:00:00,0.15638524880502122
2021-10-21 23:00:00,0.15637534461216568
2021-10-22 23:00:00,0.15665411867176104
2021-10-25 23:00:00,0.1566779265869907
2021-10-26 23:00:00,0.15677396799616217
2021-10-27 23:00:00,0.15638867276843138
2021-10-28 23:00:00,0.15651326019468684
2021-10-29 23:00:00,0.1561330222122644
2021-11-01 23:00:00,0.15639001793793506
2021-11-02 23:00:00,0.1561789873666817
2021-11-03 23:00:00,0.1563770563582911
2021-11-04 23:00:00,0.15631276934644067
2021-11-05 23:00:00,0.15638842819464416
2021-11-08 23:00:00,0.1565405784487455
2021-11-09 23:00:00,0.1565039521160508
2021-11-10 23:00:00,0.1562468262363421
2021-11-11 23:00:00,0.15647358608511694
2021-11-12 23:00:00,0.1567264238399698
2021-11-15 23:00:00,0.15666847618756663
2021-11-16 23:00:00,0.15648986962828962
